"InitialFrequency","InitialLatitudeGradient","InitialLongitudeGradient","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","Distance"
0.007080155414818086,0.0003562787840003816,0.003552292617563172,0.00033614462171802285,0.025361183771072326,0.003770415204157217,1.8094416636679962,1.4968056102326894,1.0384453155065492,1.301043090911898,0.250450992246486
0.006065176570043272,0.010219196306286532,-0.005123517428284082,0.002554133894511943,0.01476931775980063,0.014909499933445218,1.6844823538489324,1.6407218743544694,0.776288470892731,1.592500745197306,0.03657598678410187
0.0015230178574302238,-0.0013486159964898655,0.00510395582397339,0.006351363380274281,0.02631361445596041,0.010825732499975113,1.213214330725618,1.799005149463617,1.0207211361281259,1.5603413400482609,0.2602441729109079
0.011387874055000182,0.0013638920435737427,-0.005034339796346835,0.0005317845912620172,0.0029830195899069167,0.006737590208726949,2.151467367820701,1.3158792388009835,1.1501102255767548,2.1540553767802337,0.051237765985808106
0.0001327447713729255,-0.006372976688239331,0.0028495712131014414,0.007998248798634866,0.005159241937897452,0.007997891116471834,0.8744365372121466,1.0962087441308186,1.3535034800686354,1.8449957246673878,0.04612443479142123
0.01827631721864299,0.0035249525946997933,0.0008043561237149178,0.008376852792408719,0.001787134568190254,0.013216569724497342,1.083096979404629,0.6086660237540037,1.1835875000051819,1.7974737126790465,0.07978145811176302
0.0009386538461318543,0.002732998474901825,-0.0009571960547089696,0.004361211337542192,0.018686719150425628,0.000019723523698035317,2.0359189690968673,0.6623905118556234,1.1279616802905392,2.380769122930135,0.043328430535307036
0.0025541133456375526,0.010058527568972998,-0.002288976038425545,0.005112163533893032,0.023034468194191762,0.009016778305428968,0.9884457159342577,1.231972488801862,0.6176338380778003,1.309757597812896,0.04203930673519056
0.00022106708040742746,0.007008360078384704,0.006779361083670147,0.0015077902869474488,0.0075648364075947775,0.007132654547021264,1.9308367409780225,1.4615888259588932,0.7823900861399452,2.0808152614787043,0.059306923680392594
0.00018168241220686826,-0.0007119998873884566,0.00583544688979066,0.0006060372032337656,0.036637804400378865,0.0061207795069287176,1.8202367311356837,0.7894812681083826,0.6389978754668865,2.146726673409177,0.041557086132734386
0.010218786369338694,0.002619692380261783,-0.0007406084772701256,0.0005528254685115428,0.020542053718074015,0.008129946183833357,1.926583206719118,0.611635126969392,1.1752814794191846,1.8271178338685783,0.21275635790751002
0.00007741349630589844,0.0018292467795769278,-0.0011249113368246135,0.007038353745026536,0.016680651252361314,0.012493720419121017,1.0809285097723824,0.6980746921907978,1.0841585781694723,1.8819955743146715,0.05511886415334342
