"InitialLatitudeGradient","InitialLongitudeGradient","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","CallErrorRate","InitialFrequency","LogPosterior"
0.002489691981773172,-0.001150102227292565,0.014404529539314733,0.007344996852907905,0.03044517639768547,2.187149710729054,1.3747040720102048,1.3877885519105706,1.6762986731651086,0.002139005073026286,0.0007838034629762809,-2686.4593204281437
0.002565148930440261,-0.0013578117988991651,0.014393617294408459,0.007289883377974326,0.03079182673876841,2.185739999079771,1.3921901317369203,1.3874554664697718,1.7023406873034295,0.0022819373154540933,0.0007924360343653713,-2684.8386884926317
0.0026221918003831047,-0.0014276425425848206,0.014393736529536768,0.007229998146897223,0.03069703518100325,2.185763712400973,1.4002487178862069,1.3875428025814047,1.6998248763746409,0.0024500480127835973,0.0007998910160121721,-2685.135396493149
0.002634062683612567,-0.0013757228228860954,0.014407818077774458,0.007174993132437958,0.03022909899582648,2.185766687374368,1.404253584948137,1.3878677721718247,1.6872010976166019,0.002492731642514535,0.0007953965237959523,-2685.55990458189
0.002431260615917438,-0.0011287342279383654,0.01441299100354121,0.0072632100394386554,0.030148123777397007,2.186011138350196,1.4029257794837193,1.3880159083604156,1.666252949513131,0.0025238763204707077,0.0007834107611248799,-2686.994370895884
0.002628157891377686,-0.00129962635790524,0.014409945035057064,0.007219520039688874,0.03016940742323425,2.1848904821163377,1.4173087957206456,1.3879923974527386,1.6835717470409683,0.002644796024366442,0.0007856322338255748,-2685.7462047100717
0.002594889357671314,-0.001257716715467443,0.014432068082831394,0.007280253198134277,0.0300196721994124,2.185511067630774,1.411061242192159,1.3881710813584234,1.6669479319085283,0.0026573981902561932,0.0007684251275796913,-2685.974826010218
0.0025688143176991907,-0.0014451876863488646,0.014437940028150817,0.007281756493468208,0.030199270417925042,2.185226393816957,1.408776366319819,1.3879377057105513,1.663576607637332,0.0026150620070685675,0.0007721490248343829,-2685.688645452986
0.0023294595278535706,-0.001265144167251926,0.014447146290379305,0.007403606806613511,0.03025424204534395,2.1856502301784353,1.3909988346429354,1.3880143089986645,1.6410417001086202,0.0024215950677932553,0.0007574286365935367,-2684.924532738706
0.0023294595278535706,-0.001265144167251926,0.014447146290379305,0.007403606806613511,0.03025424204534395,2.1856502301784353,1.3909988346429354,1.3880143089986645,1.6410417001086202,0.0024215950677932553,0.0007574286365935367,-2684.924532738706
0.0021065733500872062,-0.0011306791071015792,0.014436056032478946,0.0075083974425217935,0.030451745865185606,2.1847434449930008,1.3922329319297801,1.3876779646702166,1.63716993752465,0.002347802066708905,0.0007440126683055255,-2686.238940940319
0.0022063353760053053,-0.0012330364937170575,0.014454239640398225,0.007409124313347047,0.030195796962409288,2.1853370465384674,1.38939713776585,1.3878085400894635,1.6347662765462978,0.002352877679037444,0.0007489827678842552,-2685.4700737352823
0.002129858988302929,-0.0011607267739555558,0.014443667142079283,0.007518419051161271,0.030292214195424945,2.1860946892656914,1.3880537348540996,1.3878257714298037,1.622626990982498,0.0024332448774217804,0.0007379069354868624,-2685.828016924915
0.0022035584309526082,-0.0013216092078298589,0.014442901590290552,0.007555863600533983,0.030409670373843803,2.185951938116886,1.3918520759830681,1.3877809578873275,1.6243512322024038,0.0025560688453408367,0.000727882181901709,-2686.2384012384287
0.0021777691772428345,-0.0012013965769231433,0.014441874292302481,0.007500955159783527,0.030028303509487368,2.1865774625819294,1.3939641728846053,1.3879564614529805,1.6146082290487134,0.0026257406763648965,0.000732817668399092,-2685.4861184645943
0.0024041213430198247,-0.0011990709085764086,0.014435659794109188,0.007396670459460527,0.02986847239617208,2.1864900157136367,1.3987009871880118,1.3881690416930201,1.634582911276256,0.0026602805593351265,0.0007426708095910332,-2685.4195756805425
0.002334837501511658,-0.0012122291052953605,0.01442180610970074,0.007497985296245732,0.030118756607425225,2.1860177082005303,1.398113238567893,1.387899502753997,1.6398652821530013,0.002689189729156727,0.0007282191292071957,-2684.638577089188
0.0026509660001698167,-0.0014657413322954988,0.014418774908800211,0.0074183620158679376,0.030006103143673656,2.185168731179968,1.4141447303696428,1.3881181659439132,1.6619054301054401,0.0028278051216132087,0.0007372939945601302,-2686.7985507952358
0.0025276274833216025,-0.0012999780289406487,0.01441348132036866,0.0074480517953741665,0.029984298777854614,2.185635014617789,1.4088369780074999,1.3880902934747246,1.6638341702682693,0.0028012278316904937,0.000734711903478004,-2685.087989893039
0.0026488998575593028,-0.001378223777826472,0.014396509950846681,0.007392086546236677,0.03011995763779521,2.185444146646126,1.418385442622039,1.387935087036533,1.681211984517046,0.0029170279300724444,0.0007399294569001781,-2685.9898549543213
0.0025831603932802948,-0.001335833761529578,0.014416624792996754,0.007443188083209174,0.029814052735542947,2.1863926743442814,1.4080275400930709,1.3882646771029985,1.6574616617935871,0.002864871064070121,0.0007282292206568151,-2686.0691672866724
0.0025400717573964716,-0.0013908544167797353,0.014421306552341369,0.007360405816963586,0.029533306762871733,2.1861030353081654,1.412777127933318,1.3881923457403513,1.654177272748179,0.00275954130899134,0.0007367756180444335,-2686.4525090327575
0.0023750610739401087,-0.001224858517604113,0.014421325403482121,0.007461085132794182,0.029438097492261027,2.186953738483456,1.3988548309346935,1.3882635348405743,1.6351143293365262,0.0026478865134875896,0.0007242093417355635,-2685.2650930739405
0.002287451287700474,-0.0012766235026500398,0.01439848472469294,0.007575462007909347,0.030146783095613965,2.1853046089853194,1.4081273994852652,1.387638728527565,1.6601960710323587,0.0027006647221688596,0.0007204063431015738,-2684.150455621424
0.0022251421206915725,-0.0011718012154511258,0.01440520842653645,0.007595875770388445,0.030134706928435374,2.1854159536571944,1.3965647689548224,1.3877902353961842,1.6585590388257665,0.0023837479726641093,0.0007151290718127739,-2683.9419896056174
0.0021975219952853776,-0.0012916011800678693,0.01440555661193052,0.007592782140316464,0.030394481194711748,2.1848629593684534,1.3948369233604083,1.3876364966695611,1.6687394446448844,0.0023057953446967935,0.0007137746293768661,-2684.8753365450893
0.002557455221070948,-0.001395289544270292,0.014408352250238279,0.0073887225982856766,0.03011698650841564,2.1844884666965116,1.398304588299907,1.3878061259152874,1.6946101878762816,0.0022147149359806584,0.0007374054957808992,-2686.474523424723
0.0023922153312441723,-0.0013745320348617562,0.014384377163670851,0.007308417828262816,0.03052104742917282,2.182156326276355,1.4092484306065933,1.3872343335364175,1.7289464525536917,0.0020438253194268977,0.0007619813736425471,-2684.7775374693147
0.002292791765085697,-0.0012055072084936275,0.014384357724104041,0.007388264264240245,0.030035487869899846,2.1839490276904963,1.3990828033679863,1.3876792081931297,1.6944000539740882,0.002022127962052981,0.0007496799297414656,-2684.358555374659
0.002243341717697217,-0.0012220394482848514,0.01439972004716543,0.007465687810623507,0.03001160501606122,2.184731787568535,1.386201909555865,1.3878660693165867,1.6718782484088965,0.0019919294920280666,0.0007344374584689593,-2684.576833720533
