"InitialLatitudeGradient","InitialLongitudeGradient","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","CallErrorRate","InitialFrequency","Distance","Weight"
-0.0012851964717958079,-0.005770021467820693,0.009939771779655281,0.0013892574576891295,0.000019244143315689395,0.8278031431782688,1.1253782431739552,0.40064240863807704,1.2316266961885767,0.0018408271206239383,0.00006805853282743135,0.01513943511893536,0.00000500906639396538
0.008835237023962068,-0.006436221462817883,0.00012894961062679522,0.000030401834510819594,0.006849497196948846,0.9261438941573163,1.2210121950339365,1.340951007193409,2.399713281748622,0.004076687266873054,0.00007585668676329836,0.016288555981198584,0.000003294259489841676
0.0021753608165506425,-0.007580813538176136,0.0029555078350734214,0.004081182725911378,0.01437596716621157,2.186930446798157,1.794250620994423,1.3128540382449114,1.9948560227307024,0.00929500880948999,0.00007103117159691705,0.016019607639320445,0.0000228451730696871
-0.007936446271483075,-0.004387999536275278,0.0008979554113608775,0.007609002640743773,0.012135463628582933,1.2257271500676685,0.8640022447968831,0.45205692383967705,0.8118652048029174,0.003405511062464522,0.00012742139152640652,0.015988177303723972,0.000052262093636161964
0.010231032959527438,0.005314779938496543,0.000322118995511529,0.01806151971277428,0.01063656973378446,2.1980424220253143,1.3271079949614553,0.43422726224045516,1.6632514751429752,0.001055790491631972,0.00006350789663741252,0.015500422115816911,0.000005594248900096094
-0.0009992306581127295,-0.00446413609616877,0.0051681586874265965,0.009322394703908962,0.0026363515584272275,1.3992249013332856,0.6000993668652822,1.2178381236576727,0.8086106327214483,0.0017372606583873104,0.0006388280079722189,0.013531485712534668,0.00036464309054138293
0.0034188327140248255,0.007036918904054456,0.0004901706761962835,0.01104349848551577,0.006907328053094216,0.8265399976173036,0.9920242840267803,0.4007274333469761,2.069715525669389,0.00015141068908782997,0.003515669633416253,0.01534506523547048,0.0001546242984574281
0.0024838874655738075,0.007418283462683693,0.007743540964758221,0.007477992476143157,0.011384800197522313,2.1990327754997265,0.9756769864043033,0.6059711608434678,2.292789215162876,0.002227467454376788,0.00008378331999984877,0.014644148003484691,0.00010817852412783233
0.010282648024665022,0.007456474045363705,0.002799423996741423,0.00025853077320023667,0.0001417495029424436,1.9225295085137948,1.1857995601501221,0.6885153813131808,2.174144038552355,0.001404166847764258,0.004002897928888332,0.016193345737533924,0.000359082885765418
0.011972887918205898,0.006826578971940854,0.000020053340997109055,0.003300239213327465,0.012301257440800201,1.729832575108167,1.1006487224622732,0.4076809512910795,0.80250861891157,0.0026895520344629594,0.0033288380563678247,0.01617920391041507,0.0000011760978098623664
0.007097147279233357,-0.002220194644255498,0.009491758596555976,0.005784793641441085,0.014232782280565638,0.8457026007061254,0.6023882666321552,1.399843549549368,1.3755391381723632,0.002341873432549898,0.0002868576635980541,0.01609647775174566,0.0000742938248811298
0.011907835516924918,0.007729623719118978,0.007265729753069102,0.0009594633819883908,0.014929794958095637,1.5309729785490926,0.9498442851751575,1.3963960688683075,2.3198286577731304,0.006853708606312731,0.0000880406205669626,0.015889892287182922,0.000006967193367548762
0.00912108412433545,0.0029143688331535415,0.0000907418507197502,0.015145067674015768,0.0008246277338600543,0.8004177032965637,0.6205698407105175,0.40132680569514956,1.8361344079699975,0.007018605966914332,0.0006260107375487826,0.015614296419367825,0.000004112327191718567
-0.003084147342762489,-0.002006136431900565,0.0006306005198888182,0.004274878728249485,0.002153398867255718,2.1753128572243394,0.8375621502500242,1.1135600207018492,2.0369174528705205,0.00981530794275417,0.00009909639841541394,0.01626828317635117,0.003051241766547005
0.007556863807519897,-0.0035117397917688474,0.001584011737747153,0.013912679326731741,0.013946240749341646,2.1976294176674656,1.7981913148816613,0.5280359827879677,1.7364371821624385,0.0015687635989417113,0.00006346524342399539,0.01558823936480103,0.000002966904782578667
-0.007181919150976485,0.0035632096738480706,0.0012230607779398785,0.008858436790732147,0.009529143084182803,2.1978554767284058,1.794994257995452,0.41977092036630154,2.0152987384221364,0.0035625067760887297,0.0000671730729010629,0.015678419514868203,0.0000013857977492423147
0.004772914333237134,0.007402547911459868,0.0009001894005559691,0.0060661846277258085,0.00860561504393469,0.8639171155302892,1.60510986425261,1.1665587378825517,1.118075405330656,0.006939849961076139,0.00008785694659788579,0.015903806567997458,0.005903630841438267
0.0016087019577890067,0.006618700005442901,0.00009912679795427045,0.016723977039944927,0.010838937700125836,0.8405181025881925,0.8730828337470344,0.411242134667717,2.164022150997739,0.00010636325639782255,0.00013780781407947906,0.01616971275299369,0.0001783074661938488
0.007940239033660697,0.004164457510329922,0.0028298702248748613,0.008010302526350634,0.014280196657053695,0.8627233006152402,1.7951479745597272,0.5682884116184288,0.800007489142848,0.0071564044862653525,0.00013662111855169317,0.01580586062069933,0.0000019149413891325274
0.00004676708093020315,-0.0013141512498270856,0.0051858496203615306,0.0015759217561446073,0.003233388739645578,2.0765151702744706,0.6023670649095405,1.0613974435615126,2.2931750504826187,0.001425566883707022,0.0013912841252804516,0.0156091097407253,0.0006574217774586736
0.010059413181391471,0.005849929739060981,0.0009062001735362944,0.002492405606025807,0.013883216522792091,1.7486795872682834,0.6204629578402154,0.4476018818511385,1.6483988313579188,0.003845792618906008,0.00010666230276284157,0.016300814052740007,0.00022545923922692997
0.006141299277012518,0.0026504113769959866,0.00020588115863467464,0.017233285403263545,0.004011022304097875,2.0836373021640906,0.6044782952086535,0.43927750616185085,1.877186184759051,0.007363800194532143,0.0006096247775555982,0.015264662868438268,0.0011704323385359487
