"Generation","Epsilon","AcceptanceRate","ESS"
1,3.613699093682798,1,800
2,0.06108474892760456,0.25,50.649284724612755
3,0.05285955665108026,0.25,19.09554569870688
4,0.04939756556189664,0.16666666666666666,30.524440352670457
5,0.044348517643937956,0.1,20.959422794297563
6,0.04204896009134267,0.07142857142857142,68.68734850212515
