"OriginLatitude","OriginLongitude","OriginTimeBP","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","DairyingLeadYears","CallErrorRate","InjectFrequency","Distance","Weight"
46.154104507342396,3.986955841318048,6409.80984590417,0.000025914526931005983,0.05475062398035913,0.07949567314775755,1.7779039284705576,0.6012564995372905,0.596015942815603,2.344594000943018,147.4714979081815,0.0029293960593760023,0.026673232884173795,0.026642397735703528,0.000006163343654573465
58.05436220166232,-3.9987385645942926,5058.579656511022,0.011754554639187318,0.0560570473745937,0.03922565574886645,1.9091013306921498,1.1506003480222347,0.8861291081574121,1.7819411024614542,192.2952785895605,0.019134343381275298,0.0012346429524118176,0.04678113179689293,0.0004902837624165084
52.19433348060895,0.9080287311743298,5037.507683748872,0.014845349153884767,0.034205249629254815,0.07917682973398588,1.8974632592165876,1.4230432494094998,0.4620730214767003,0.915331657782398,0.11109502214288611,0.019249777932523634,0.0684094036067498,0.040842808284756484,0.000001760780831362862
52.93824962421725,5.7720165145378655,6784.2228775218255,0.0003198471068659825,0.05691408091243519,0.043372736497136556,2.163350923690303,0.6310285186927106,1.2887982113862904,1.7241955672712759,198.46856806828035,0.0017320840661495072,0.0019802972889965357,0.030706405752034854,0.00006284222224095614
52.099430376441816,9.002630340399335,5557.986453124699,0.00017606901262573327,0.046306334716413475,0.035344312413875076,2.024009131268012,0.6315127320029609,0.9245488286633813,1.5209849924995749,23.19136940856276,0.00594015248280351,0.03541323130942689,0.04562985078019164,0.0022881604590929325
57.498245374836664,-2.8383452385296524,5018.43441224199,0.01359954213660502,0.05307252716289019,0.024876659341901367,2.1395465220324157,1.7987051727864736,0.4143232388089665,2.1575028638531095,167.551240716968,0.0134132002156111,0.0999603579612676,0.04325504137795303,7.70009999168403e-8
46.50307982668589,4.987412948061593,5217.367204648805,0.0013517404803551868,0.059019986520211704,0.07001309111277114,0.9866772040195916,1.534284806310247,0.4000559744200218,2.3078733127035145,173.52369876920545,0.0014819263763049763,0.003548385468323853,0.04612404625148102,0.0000044598944828655105
43.999059201690805,-0.28970471154517696,6436.370354693957,0.007874037530292513,0.03826428265848584,0.07279163540888503,2.1434578634411237,1.7907378916897545,0.49154923033638553,2.399047284197383,157.03052190755142,0.009782962049906183,0.001260698783077713,0.03200959645185472,0.00009882565730326946
54.98842392355704,-3.927410781233905,5630.383893688035,0.009151983324300245,0.05248042141961924,0.05309054256534017,0.9476587377037458,1.454321279241295,1.201350763074255,1.4360256399514058,152.96879563565673,0.00022637318460537307,0.09901555226303718,0.039298245219463776,0.0006821324297505734
54.66599649545286,8.237182391250254,5139.744789427364,0.00009949712081603963,0.0590383128273506,0.02933263533178812,2.057306370270636,0.9154961883127718,1.3225218739464983,2.17979188761523,40.57197158480126,0.0018568550770915546,0.0026094101706179425,0.03948762599462859,0.000043318515978891166
