Longitude,Latitude,RelativeDensity
17.00,39.50,0.00000
20.00,39.50,0.00000
20.50,39.50,0.00000
21.00,39.50,0.00000
21.50,39.50,0.00000
22.00,39.50,0.00000
22.50,39.50,0.00000
23.00,39.50,0.00000
27.50,39.50,0.00000
28.00,39.50,0.00000
28.50,39.50,0.00000
29.00,39.50,0.00000
29.50,39.50,0.00000
30.00,39.50,0.00000
30.50,39.50,0.00000
-8.50,40.00,0.00000
-8.00,40.00,0.00000
-7.50,40.00,0.00000
-7.00,40.00,0.00000
-6.50,40.00,0.00000
-6.00,40.00,0.00000
-5.50,40.00,0.00000
-5.00,40.00,0.00000
-4.50,40.00,0.00000
-4.00,40.00,0.00000
-3.50,40.00,0.00000
-3.00,40.00,0.00000
-2.50,40.00,0.00000
-2.00,40.00,0.00000
-1.50,40.00,0.00000
-1.00,40.00,0.00000
-0.50,40.00,0.00000
0.00,40.00,0.00000
9.00,40.00,0.00000
9.50,40.00,0.00000
16.00,40.00,0.00000
16.50,40.00,0.00000
18.50,40.00,0.00000
20.50,40.00,0.00000
21.00,40.00,0.00000
21.50,40.00,0.00000
22.00,40.00,0.00000
22.50,40.00,0.00000
26.50,40.00,0.00000
27.00,40.00,0.00000
27.50,40.00,0.00000
28.00,40.00,0.00000
28.50,40.00,0.00000
29.00,40.00,0.00000
29.50,40.00,0.00000
30.00,40.00,0.00000
30.50,40.00,0.00000
31.00,40.00,0.00000
-8.50,40.50,0.00000
-8.00,40.50,0.00000
-7.50,40.50,0.00000
-7.00,40.50,0.00000
-6.50,40.50,0.00000
-6.00,40.50,0.00000
-5.50,40.50,0.00000
-5.00,40.50,0.00000
-4.50,40.50,0.00000
-4.00,40.50,0.00000
-3.50,40.50,0.00000
-3.00,40.50,0.00000
-2.50,40.50,0.00000
-2.00,40.50,0.00000
-1.50,40.50,0.00000
-1.00,40.50,0.00000
-0.50,40.50,0.00000
0.00,40.50,0.00000
0.50,40.50,0.00000
8.50,40.50,0.00000
9.00,40.50,0.00000
9.50,40.50,0.00000
15.50,40.50,0.00000
16.00,40.50,0.00000
16.50,40.50,0.00000
17.00,40.50,0.00000
17.50,40.50,0.00000
18.00,40.50,0.00000
20.00,40.50,0.00000
20.50,40.50,0.00000
21.00,40.50,0.00000
21.50,40.50,0.00000
22.00,40.50,0.00000
22.50,40.50,0.00000
23.50,40.50,0.00000
24.00,40.50,0.00000
27.00,40.50,0.00000
29.50,40.50,0.00000
30.00,40.50,0.00000
30.50,40.50,0.00000
31.00,40.50,0.00000
-8.50,41.00,0.00000
-8.00,41.00,0.00000
-7.50,41.00,0.00000
-7.00,41.00,0.00000
-6.50,41.00,0.00000
-6.00,41.00,0.00000
-5.50,41.00,0.00000
-5.00,41.00,0.00000
-4.50,41.00,0.00000
-4.00,41.00,0.00000
-3.50,41.00,0.00000
-3.00,41.00,0.00000
-2.50,41.00,0.00000
-2.00,41.00,0.00000
-1.50,41.00,0.00000
-1.00,41.00,0.00000
-0.50,41.00,0.00000
0.00,41.00,0.00000
0.50,41.00,0.00000
1.00,41.00,0.00000
9.00,41.00,0.00000
9.50,41.00,0.00000
14.50,41.00,0.00000
15.00,41.00,0.00000
15.50,41.00,0.00000
16.00,41.00,0.00000
16.50,41.00,0.00000
17.00,41.00,0.00000
20.00,41.00,0.04167
20.50,41.00,0.04167
21.00,41.00,0.04167
21.50,41.00,0.04167
22.00,41.00,0.04167
22.50,41.00,0.04167
23.00,41.00,0.04167
23.50,41.00,0.04167
24.00,41.00,0.04167
24.50,41.00,0.04167
25.00,41.00,0.00000
25.50,41.00,0.00000
26.00,41.00,0.00000
26.50,41.00,0.00000
27.00,41.00,0.00000
27.50,41.00,0.00000
29.50,41.00,0.00000
30.00,41.00,0.00000
30.50,41.00,0.00000
31.00,41.00,0.00000
-8.50,41.50,0.00000
-8.00,41.50,0.00000
-7.50,41.50,0.00000
-7.00,41.50,0.00000
-6.50,41.50,0.00000
-6.00,41.50,0.00000
-5.50,41.50,0.00000
-5.00,41.50,0.00000
-4.50,41.50,0.00000
-4.00,41.50,0.00000
-3.50,41.50,0.00000
-3.00,41.50,0.00000
-2.50,41.50,0.00000
-2.00,41.50,0.00000
-1.50,41.50,0.00000
-1.00,41.50,0.00000
-0.50,41.50,0.00000
0.00,41.50,0.00000
0.50,41.50,0.00000
1.00,41.50,0.00000
1.50,41.50,0.00000
2.00,41.50,0.00000
2.50,41.50,0.00000
13.00,41.50,0.00000
13.50,41.50,0.00000
14.00,41.50,0.00000
14.50,41.50,0.00000
15.00,41.50,0.00000
15.50,41.50,0.00208
16.00,41.50,0.04167
20.00,41.50,0.04167
20.50,41.50,0.04167
21.00,41.50,0.04167
21.50,41.50,0.04167
22.00,41.50,0.04167
22.50,41.50,0.04167
23.00,41.50,0.04167
23.50,41.50,0.04167
24.00,41.50,0.04167
24.50,41.50,0.04167
25.00,41.50,0.04167
25.50,41.50,0.04167
26.00,41.50,0.04167
26.50,41.50,0.00000
27.00,41.50,0.00000
27.50,41.50,0.00000
28.00,41.50,0.00000
28.50,41.50,0.00000
-8.50,42.00,0.00000
-8.00,42.00,0.00000
-7.50,42.00,0.00000
-7.00,42.00,0.00000
-6.50,42.00,0.00000
-6.00,42.00,0.00000
-5.50,42.00,0.00000
-5.00,42.00,0.00000
-4.50,42.00,0.00000
-4.00,42.00,0.00000
-3.50,42.00,0.00000
-3.00,42.00,0.00000
-2.50,42.00,0.00000
-2.00,42.00,0.00000
-1.50,42.00,0.00000
-1.00,42.00,0.00000
-0.50,42.00,0.00000
0.00,42.00,0.00000
0.50,42.00,0.00000
1.00,42.00,0.00000
1.50,42.00,0.00000
2.00,42.00,0.00000
2.50,42.00,0.00000
