"OriginLatitude","OriginLongitude","OriginTimeBP","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","InjectFrequency","Distance","Weight"
40.82268190619125,-1.5253360073355733,7026.936493081353,0.005597656584297007,0.02746649265171836,0.34963299337515524,0.958969399715673,1.0265102462761728,1.2074604518004244,2.2117441372974804,0.001182544532135413,0.04389353397205945,0.0048152908684049684
42.23282975125726,12.083018249902729,7449.422981299873,0.003349285841021003,0.03699935485025074,0.5979773726274162,2.1220363885747835,0.612393253443003,1.26904223668329,1.108911835593712,0.0013301575471312474,0.043901916894220794,0.00017537144876502897
58.28534815280524,31.31353513160655,6807.500505533003,0.012900506128141276,0.0334237988642205,0.15684183320877837,2.1469939043696593,0.7680854316465184,1.0515982983103043,2.311086691361745,0.0030658594817518604,0.043612347333886144,0.00007719610478296385
37.666269443507595,31.10107698815883,6832.474093474649,0.012964164469367183,0.0277362040839945,0.3826513724158405,1.1779310525072044,0.6048148843932277,0.4286009789412161,1.4866052377785137,0.0702589910480265,0.04303663019384439,0.00008753109944909434
36.50699988800991,5.8436137213161246,7950.224118980687,0.014827908642669042,0.04751845490690424,0.5974314492304287,0.9495085564073447,1.7501491573372538,1.0247100792266797,2.326570649215496,0.0010762811302648875,0.04361192924677088,0.00002939885871454119
36.15896143316216,11.017521609215358,8008.348032402611,0.0014060128511557376,0.05932871628902999,0.5706779038616924,2.0165532703422584,1.6736906515826955,0.7557174606701862,1.327089634982649,0.0012393534838888187,0.04358815307162908,0.00118574431774246
36.87670036217887,14.813823580330826,8525.950738675418,0.012176916243931619,0.03759242012024244,0.42910506591448233,2.173578272046857,0.8685368591248157,0.43871442391274224,1.301331797482934,0.024701523005689514,0.041253231092966254,0.0016310007650162097
47.75547714400322,11.496638754572096,7127.156926605612,0.014482503410108576,0.010297791373496611,0.5773017044867297,2.12317331528741,1.555317825560028,0.47994101744954104,0.847291865652905,0.06938960974810802,0.03810945433552123,0.00005536304168048817
43.32293337660661,-5.781998949890739,7799.913323326631,0.00318298855982251,0.05652169090228504,0.4352827616319289,2.170066638240745,1.5666910788623163,0.4511270580824958,1.3482149262490015,0.001055063026255096,0.03440318898130462,0.0011177556116996358
40.81331931385517,5.145854683417296,6890.323142801398,0.003527134406325129,0.03756535619175592,0.0910974649001285,1.6618348394442524,1.797636759029567,1.145303295850412,2.3995627679265326,0.0015209546264850458,0.041860268080645795,0.000017393178300014728
