"Region","Status","SampleCount","CalledAlleles","DerivedAlleles","Alpha","BetaPerKyrTowardPresent","SelectionPerGenerationApprox","LogLikelihood","AlphaSE","BetaSE","AtParameterBound","FrequencyAt8000BP","FrequencyAt3000BP","FrequencyAtPresent"
"British Isles","OK",803,1050,410,-8.719933450720628,1.0678009667007242,0.02989842706762028,-511.4139059432132,0.6332535050740224,0.07765624997455915,false,0.0013799439256241934,0.22351016046882485,0.8763246040569699
"Rhine-Danube","OK",3370,4269,705,-10.6446712036828,1.0934319894280042,0.03061609570398412,-1578.7694133055243,0.6408170191037931,0.07278863565533789,false,0.00021219191374850796,0.04785019089010115,0.5719101243986269
"Mediterranean","OK",1437,1768,94,-7.86543104259634,0.6686261602644397,0.01872153248740431,-325.00051970384243,0.779640605163096,0.09518377599763173,false,0.0014595321783448364,0.039732289320687196,0.2352015660042161
"Baltic","OK",414,768,247,-10.14454189153373,1.1618033588250412,0.032530494047101156,-319.86675808969113,1.0331242552830087,0.11778074394892087,false,0.00040108533826208623,0.11795723686698792,0.8135875266933326
