"Generation","Epsilon","AcceptanceRate","ESS"
1,0.15453438977378023,1,800
2,0.0669353627636804,0.25,69.65051988330146
3,0.06161422092881192,0.25,33.93170496810891
4,0.05427198569988071,0.16666666666666666,16.791075052201045
5,0.046039032195517846,0.16666666666666666,26.124016003301858
6,0.040249181889707775,0.125,36.168029950977626
