"OriginLatitude","OriginLongitude","OriginTimeBP","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","DairyingLeadYears","CallErrorRate","Dominance","InjectFrequency","LogPosterior"
52.67399535104876,4.2708894957467045,6879.102829193665,0.020042563371636343,0.03220303691860404,0.21634585826627825,2.1987287613742894,0.8747054969539796,1.3939830079777198,2.3250293867025373,65.82549409059321,0.019211392974888115,0.9656485420435592,0.00468299669409108,-2853.0794512486327
52.610234439831345,4.358298378501658,6788.059515611085,0.018935462968259556,0.032980443614996406,0.21795961188096158,2.198790223824992,0.85752613042481,1.3942753999800037,2.319008072859562,71.23661586423363,0.019064478481146056,0.9664219890379364,0.005041801969075243,-2852.5924575874533
52.579905112550335,4.301742718177,6794.387950477806,0.01821663198933144,0.03317397569228921,0.2184864392546047,2.1988926974633394,0.8369345236765234,1.3944842882794644,2.3176339411794586,73.77642284363971,0.019027765428737936,0.9678740885950403,0.005167338950337816,-2851.9388965232138
52.54628947538824,4.294808621688643,6751.9467980533145,0.017754962603042632,0.03360520660530192,0.21880083502334474,2.198896873717054,0.8358152962464311,1.3943398610675666,2.3133123448759605,80.12565486433502,0.0188517607130105,0.9676809494036841,0.005173124097255555,-2851.926045944467
52.4565565649939,4.160870615589351,6778.762834135687,0.017410889652656882,0.0332789705119061,0.21762795506742766,2.198902837964283,0.8419779712317501,1.3943915750511584,2.314607456161193,80.54616736503877,0.018793256321444636,0.9675603335834821,0.005141511421208691,-2853.5545082537255
52.435925974445375,4.097760957787358,6771.7619892909315,0.016938367809176933,0.033509460913417145,0.217773301698132,2.1989483277619577,0.834553284817076,1.3945324980581857,2.3134546032186627,83.92859116130056,0.01871557978536957,0.9680287167438008,0.005222814377795764,-2855.11063559832
52.46602605881485,4.083491283177446,6815.041264509004,0.017518426400414108,0.03315288110907805,0.21780970045979783,2.1989334459841823,0.8392803173726595,1.394471096231881,2.3178117048890066,79.96259116066464,0.01883253582704287,0.9679215440708291,0.005064249715452168,-2854.3767184629182
52.620044184701214,4.175329078094629,6783.454835219876,0.017621654057532476,0.03420463978930711,0.21456728036591935,2.1988645251607113,0.8519597581522966,1.3943363793247672,2.313032302107928,80.07611506467236,0.018685637887205335,0.9657045446335983,0.005011710593452767,-2852.6604502775235
52.616715444859665,3.9026925695287495,6943.4216253391805,0.018102048288793606,0.033274846347674504,0.21358866046235603,2.198969958764557,0.8388583029365209,1.39440661316537,2.32475750403028,75.70188238507863,0.018951509622529745,0.9674560562553817,0.004698547687449684,-2853.2889100696816
52.58938535135303,3.9412674219803385,6913.92632078553,0.01765746933750551,0.03402313996853241,0.2130671065760688,2.1989840007477177,0.8359417685180509,1.3945385978543894,2.320927062871852,78.32199490243705,0.018837269516294938,0.9673722420962304,0.004742559322241863,-2852.463739111469
52.36201004223703,3.911963542840409,6908.04885856938,0.017600073345829262,0.0337621787322379,0.21333313197807618,2.1989762728416586,0.8504412372861665,1.3945114322972711,2.326397856747535,78.80817734992341,0.018752575710256184,0.9667099167545439,0.004745277870826298,-2852.116727021357
52.36079802243665,3.904295458175989,6927.357311590001,0.017598947199381224,0.03359064246025697,0.21399322505155355,2.198997982152878,0.8466119671113255,1.3946200917371885,2.3273967675873397,77.79370933658916,0.018821824522015283,0.9672663088458345,0.004736771054052305,-2852.7891061954106
52.28970981272275,4.000427069446021,6881.431685424996,0.017700560640438342,0.033739263229887816,0.21544620335749917,2.1989704598368744,0.8488775589862905,1.3945358542701571,2.325078560772278,79.93731656155393,0.018794366914453214,0.9671233431108082,0.004834548269286107,-2851.8197055401147
52.30893207312501,4.075254513540058,6807.183504738111,0.016973352330063373,0.03461718118277998,0.21492982771389532,2.1989796118445186,0.8406846665356085,1.3946342171663453,2.319417033561698,84.13983544564479,0.01858542697582306,0.9669212141600765,0.005103234236268952,-2852.5728036683613
52.26104736228932,4.066679835916551,6825.696922804592,0.01691475992937893,0.03447609872430331,0.21432910292089583,2.1989934816546084,0.835203047494556,1.3945502108543373,2.320224931255355,84.08263122040142,0.018622560771473673,0.9674501145100234,0.005095840478948963,-2852.3440130117383
52.191009068437296,3.917441202438777,6913.722868619152,0.01697741388378265,0.03407836450047771,0.21450806500564748,2.1990599127374044,0.8271357362339513,1.3946767079158828,2.324582869451608,82.92453800175129,0.018746552493056182,0.9685780421672368,0.004958858903128947,-2853.7418274449938
52.256526097844656,3.9283157500261474,6806.261905928661,0.016111511193640425,0.03541954240497268,0.21087158853143856,2.198973085466083,0.8488826389029447,1.3944757010608475,2.3165319095270807,89.42037413895004,0.018131498196984824,0.9655765002912483,0.005030021302432808,-2853.17256590737
52.23501192034281,3.8696469301990053,6839.999812683345,0.01653206531057366,0.034920306095260575,0.20978649777078606,2.1989511627546228,0.8574692633584253,1.3944372939414031,2.320286790179589,86.74539038346438,0.01823646588961727,0.9653464839617648,0.004933740622123684,-2852.498801993594
52.223227108395484,3.8010144550416793,6934.652085325983,0.017802846268071538,0.03365393336945816,0.21200196757989334,2.1989333944891554,0.8725703011086596,1.3944093010831522,2.327689593815486,80.94253470144774,0.01861697260142217,0.9657058673316737,0.004593411901924591,-2851.526653267402
52.18474143111433,3.8450856247737395,6906.736924171095,0.017737169121746707,0.03361118817533396,0.212954595748192,2.1989346491503263,0.8663781317016839,1.3944830137819977,2.3271549420926747,81.95726393970415,0.01864937905525346,0.9663029860915939,0.004760165014070744,-2851.515741510075
52.23230026113713,3.830593796835375,6935.936685464545,0.018325087063964504,0.033220576765827244,0.21374979508872605,2.1989009726439885,0.8751159885111821,1.3942804012991026,2.3282824323496585,80.91618606456181,0.018762020766587974,0.9662282807550239,0.004526140595657998,-2851.370723776632
52.24711531737553,3.895169122261448,6905.716311906677,0.018836553234243655,0.03280665603317826,0.2143461587096682,2.198787629401766,0.9073697156444556,1.39408403091874,2.326731713382637,79.73988425993282,0.01874771778890172,0.9648681446238867,0.004342819279080054,-2851.607811650256
52.1674737066987,3.8777074907342417,6902.104978241591,0.018752673942286198,0.03273449805848774,0.21433203360166908,2.198761618639365,0.9269027263108693,1.393944153574793,2.326844104770148,81.42926751051603,0.01862590842733958,0.9639388679543672,0.004189057642769848,-2851.523349473402
