"Variant","ESS","PriorViolationRate","ModeLat","ModeLon","MedianLat","MedianLon","TimeLo","TimeMed","TimeHi","MassWestOf5E","MassCentral","MassCarpathian","MassScandinavia","Bhattacharyya","MassInItan50","MassInItan95"
"v2_baseline",29.051508371588987,,50,2,48.31971961215262,2.2884591190387873,5120.86061131223,6650.34456491425,8844.576322475725,0.5827044027553322,0.08964755973781582,"0",0.12234241536023645,0.41167429054122207,0.07552161342000632,0.2924178503323344
"trust_early_calls",23.42330098357175,0.489375,47,8,47.54220853294691,0.9384102265240184,5113.1415777091925,6264.493019245865,8650.698974989744,0.6590757868344597,0.1633465411661861,"0",0.09941972851807065,0.3924422030307368,0.07254267257947886,0.27800421034444645
"tight_coupling",11.94964432794388,0.6465624999999999,49.5,2,49.50109125984853,1.928638278360145,5060.448361056148,5631.1895846364205,6835.192083713821,0.8890842680208841,0.051980610804963495,"0",0.06397688958395775,0.28252090964508725,0.026393258067996743,0.1547692625721242
"slow_mixing",18.410896879992865,0.489375,39.5,3,48.52292952091316,4.9188048438145735,5069.284400982973,6974.982922790141,8286.278572225687,0.6616393236383632,0.02582136628159115,"4.8880192576806066e-06",0.10636871972527012,0.3727599897231807,0.04235661511585128,0.25841468722637295
"itan_like",42.80681678844408,0.6465624999999999,47.5,0,50.096635954205496,0.5710002899767552,5040.34825721189,6018.9370982709925,7343.523650932572,0.7056490607125425,0.03179570283634614,"0",0.13729162991707078,0.3306139739206459,0.03911324038869475,0.20335949416229768
