"InitialLatitudeGradient","InitialLongitudeGradient","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","CallErrorRate","InitialFrequency","Distance"
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
0.007285468048766973,0.0022120924354958778,0.005779445237957249,0.02633642955476323,0.007129719278890797,0.9445854650320007,1.5524376644505469,0.9406199489875835,0.9428974595690145,0.0006504660028477109,0.00010982039851418684,0.01553284414961381
0.007285468048766973,0.0022120924354958778,0.005779445237957249,0.02633642955476323,0.007129719278890797,0.9445854650320007,1.5524376644505469,0.9406199489875835,0.9428974595690145,0.0006504660028477109,0.00010982039851418684,0.01553284414961381
0.011000850139301483,0.003305157755793991,0.0010363003525211193,0.016117852819414,0.011341021491181054,1.6332452209455752,1.7179304118765581,1.2610890053383519,1.2516703471620152,0.001953179847489977,0.00020349338051467265,0.014802363675122802
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
0.010992440623942282,0.004257073846443584,0.0004975512644618287,0.007522008480408965,0.012763709464127096,1.499416839151854,0.6122417047611128,1.3695153471245713,1.8840543906143818,0.006326378442550562,0.000329074470856414,0.015920785173615688
0.007285468048766973,0.0022120924354958778,0.005779445237957249,0.02633642955476323,0.007129719278890797,0.9445854650320007,1.5524376644505469,0.9406199489875835,0.9428974595690145,0.0006504660028477109,0.00010982039851418684,0.01553284414961381
0.0027747701432504334,-0.003561836178692007,0.007164609928416535,0.0028131731866238414,0.01036883525465437,1.2808861813493402,0.8150761389144567,0.4134042752181074,1.11333559805671,0.0020541323357484804,0.0002303444679636124,0.01624346488215541
0.0051797129737593435,0.006525401373450529,0.005048922955632724,0.01793032599787512,0.0008825636365526731,2.123035584842888,1.2696769078267214,0.46702608883004426,1.0262162009147258,0.0009031839808061669,0.0009022963607642301,0.01598688959875955
0.0067710577208496235,-0.0007225811311290633,0.007841879538440646,0.015283676602654471,0.014497531010880516,0.986127669737632,1.7417671566248818,0.4147368968438683,1.4185661419069013,0.006836824857216032,0.00018338446696145142,0.013875604417802305
0.007285468048766973,0.0022120924354958778,0.005779445237957249,0.02633642955476323,0.007129719278890797,0.9445854650320007,1.5524376644505469,0.9406199489875835,0.9428974595690145,0.0006504660028477109,0.00010982039851418684,0.01553284414961381
0.0025417155977667215,-0.005991810533906516,0.008003103458607292,0.011984113504532838,0.011751580333130346,1.3974679966610655,1.0775544318348833,0.6144968043513466,2.369643117032228,0.00030810361140750205,0.00024292636049188038,0.015478338568798712
0.004129258256729294,-0.004998495800462202,0.000029152571407371616,0.02388195940200485,0.014994479119029878,1.3242602063245659,1.6036088818379737,0.4681290207815618,1.3916958461719868,0.010961113230376,0.00006317567556292022,0.01453256016628086
0.0038319026725298477,0.004042096274821737,0.0016373784881412482,0.014434821488004512,0.011267352562749229,2.141691672489958,1.6824702461923011,1.2025111459255922,1.6391044305485987,0.014800620848171731,0.00021449503549589944,0.01613761649340549
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
-0.007351217557718983,-0.000425664017993742,0.00011649232740528712,0.022159422144497218,0.006497488147980749,1.2659341218203723,1.3141154576185765,0.7305433325094118,0.8016137097766656,0.0009179204062832512,0.00021048364898520108,0.015586720044227212
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
0.011000850139301483,0.003305157755793991,0.0010363003525211193,0.016117852819414,0.011341021491181054,1.6332452209455752,1.7179304118765581,1.2610890053383519,1.2516703471620152,0.001953179847489977,0.00020349338051467265,0.014802363675122802
-0.002762829379396173,-0.007424512820522787,0.001553426076271509,0.022115174376436172,0.005059422681614621,1.3218287787747784,0.6069997141431765,0.561038972868055,2.3049069722562088,0.012976100105028882,0.0002632817949525107,0.01622253045212733
0.007285150282757858,-0.007473256188765661,0.006322911601732047,0.015206992225145936,0.014027518016321914,0.9867420747747423,1.6726718657919597,0.551716471688279,1.7303208240252155,0.006058647147254747,0.0003036308944529046,0.01576164516575587
-0.0002545874665436064,-0.0035221722420081788,0.012987432819653769,0.004024066091846791,0.006513365333552945,1.425342841029035,0.6145269053214514,1.3102175892153607,2.199216676196139,0.0019604349098029617,0.0003106019100033096,0.014676385273375713
0.01120920216683555,-0.00004038904800683467,0.0045291430459556995,0.014317315488585803,0.007163508061992251,0.8112190881224208,0.6683983143197096,1.3725939048256512,2.0267783978107414,0.0008148654182239542,0.005446196987152998,0.016188028697864617
0.0067710577208496235,-0.0007225811311290633,0.007841879538440646,0.015283676602654471,0.014497531010880516,0.986127669737632,1.7417671566248818,0.4147368968438683,1.4185661419069013,0.006836824857216032,0.00018338446696145142,0.013875604417802305
0.00891352126728091,0.0052782811274044925,0.0008619692161054325,0.016087903163324785,0.012384934950967017,0.9859770150847706,1.0430710962960528,0.8041260845545523,0.908169539736728,0.006767498937746196,0.00013859630489493593,0.01563292787441306
0.007285468048766973,0.0022120924354958778,0.005779445237957249,0.02633642955476323,0.007129719278890797,0.9445854650320007,1.5524376644505469,0.9406199489875835,0.9428974595690145,0.0006504660028477109,0.00010982039851418684,0.01553284414961381
